X;Y;KOD_OBEC;NAZ_OBEC;KOD_ORP;NAZ_ORP;POCET_OBYV;MUZI;ZENY;OBYV_0_14;MUZI_0_14;ZENY_0_14;OBYV_15_64;MUZI_15_64;ZENY_15_64;OBYV_65;MUZI_65;ZENY_65
699442.768370178;5452831.95945251;500011;Želechovice nad Dřevnicí;7213;Zlín;1885;939;946;214;113;101;1276;657;619;395;169;226
647145.528776358;5541306.83298021;500020;Petrov nad Desnou;7111;Šumperk;1201;603;598;175;93;82;803;421;382;223;89;134
721712.630117402;5501804.57778924;500046;Libhošť;8115;Nový Jičín;1648;818;830;271;148;123;1099;547;552;278;123;155
717839.5574673;5486594.31997875;500062;Krhová;7210;Valašské Meziříčí;1976;971;1005;313;176;137;1313;643;670;350;152;198
712575.983661901;5483162.51405961;500071;Poličná;7210;Valašské Meziříčí;1722;875;847;255;137;118;1151;601;550;316;137;179
362705.244894275;5559757.46654087;500101;Bražec;4103;Karlovy Vary;0;0;0;0;0;0;0;0;0;0;0;0
357789.842695314;5566470.65119099;500127;Doupovské Hradiště;4106;Ostrov;0;0;0;0;0;0;0;0;0;0;0;0
685400.32423539;5495804.65791011;500135;Kozlov;7107;Olomouc;0;0;0;0;0;0;0;0;0;0;0;0
692279.764506851;5507295.14324301;500151;Luboměř pod Strážnou;7101;Hranice;0;0;0;0;0;0;0;0;0;0;0;0
681415.31974426;5512689.79216483;500160;Město Libavá;7110;Šternberk;0;0;0;0;0;0;0;0;0;0;0;0
436806.450542237;5404877.57786878;500194;Polná na Šumavě;3103;Český Krumlov;0;0;0;0;0;0;0;0;0;0;0;0
726035.603112884;5491308.0410729;500259;Veřovice;8105;Frenštát pod Radhoštěm;1970;983;987;284;155;129;1328;676;652;358;152;206
724195.630219945;5523340.92312287;500291;Vřesina;8119;Ostrava;2896;1413;1483;452;231;221;1915;946;969;529;236;293
664255.912143051;5496150.50366102;500496;Olomouc;7107;Olomouc;100154;47355;52799;15406;7861;7545;65731;32098;33633;19017;7396;11621
667372.038610632;5505409.29115708;500526;Bělkovice-Lašťany;7107;Olomouc;2240;1125;1115;425;230;195;1467;746;721;348;149;199
643043.227288159;5508863.54730322;500623;Bílá Lhota;7105;Litovel;1130;584;546;160;96;64;745;386;359;225;102;123
661968.920638478;5488332.24249415;500801;Blatec;7107;Olomouc;636;325;311;107;48;59;432;232;200;97;45;52
664398.469172746;5503407.82552928;500852;Bohuňovice;7107;Olomouc;2535;1254;1281;390;203;187;1709;860;849;436;191;245
636747.835663888;5506392.74941147;500861;Bouzov;7105;Litovel;1538;767;771;213;109;104;1039;538;501;286;120;166
658709.615193269;5489852.60853222;500879;Bystročice;7107;Olomouc;786;380;406;142;69;73;523;259;264;121;52;69
656901.568359017;5521621.86379704;501476;Dlouhá Loučka;7112;Uničov;1934;990;944;298;162;136;1301;672;629;335;156;179
670142.380803254;5504150.43354553;501646;Dolany;7107;Olomouc;2709;1322;1387;536;264;272;1759;875;884;414;183;231
648660.900640207;5493504.15269662;501751;Drahanovice;7107;Olomouc;1688;857;831;224;128;96;1165;612;553;299;117;182
663992.413629481;5484419.25097893;501794;Dub nad Moravou;7107;Olomouc;1588;803;785;278;158;120;1048;529;519;262;116;146
666505.177871044;5488018.56216491;501841;Grygov;7107;Olomouc;1487;728;759;266;126;140;958;506;452;263;96;167
673963.902324384;5503799.95698067;502146;Hlubočky;7107;Olomouc;4268;2109;2159;622;323;299;2831;1452;1379;815;334;481
657143.376757152;5492938.71964993;502235;Hněvotín;7107;Olomouc;1778;900;878;333;174;159;1213;615;598;232;111;121
660389.444006077;5510162.99688039;502405;Hnojice;7110;Šternberk;638;324;314;113;60;53;415;216;199;110;48;62
659261.032187353;5500974.97392894;502545;Horka nad Moravou;7107;Olomouc;2420;1208;1212;431;219;212;1563;811;752;426;178;248
647850.692135833;5502788.94621375;502839;Cholina;7105;Litovel;732;361;371;119;58;61;464;238;226;149;65;84
672535.463506994;5509159.66572471;503142;Jívová;7110;Šternberk;575;301;274;89;44;45;381;207;174;105;50;55
662275.718478858;5489732.97368656;503304;Kožušany-Tážaly;7107;Olomouc;876;427;449;142;65;77;563;287;276;171;75;96
509744.387838628;5571258.40814274;503410;Žitovlice;2118;Nymburk;182;89;93;27;14;13;105;53;52;50;22;28
649281.73384454;5505903.99263547;503444;Litovel;7105;Litovel;9879;4891;4988;1456;744;712;6531;3325;3206;1892;822;1070
639876.342831592;5502660.34614936;503622;Luká;7105;Litovel;844;410;434;123;68;55;548;280;268;173;62;111
653970.43152157;5490930.13832827;503657;Lutín;7107;Olomouc;3206;1577;1629;490;235;255;2198;1127;1071;518;215;303
