place_refined;place_aggregate
Brandýs nad Labem;Brandýs nad Labem-Stará Boleslav
Brno-jih;Brno
Brno-sever;Brno
Brno-střed;Brno
Brno-východ;Brno
Brno-západ;Brno
Ostrava-jih;Ostrava
Ostrava-střed;Ostrava
Ostrava-východ;Ostrava
Ostrava-západ;Ostrava
Praha-Běchovice;Praha
Praha-Černý Most;Praha
Praha-Holešovice;Praha
Praha-Horní Počernice;Praha
Praha-Hostivař;Praha
Praha-Jižní Město;Praha
Praha-Kobylisy;Praha
Praha-Kunratice;Praha
Praha-Letňany;Praha
Praha-Modřany;Praha
Praha-Pankrác;Praha
Praha-Radotín;Praha
Praha-Smíchov;Praha
Praha-střed;Praha
Praha-Šárka;Praha
Praha-Uhříněves;Praha
Praha-Vršovice;Praha
Praha-Vysočany;Praha
Praha-Žižkov;Praha
Stará Boleslav;Brandýs nad Labem-Stará Boleslav
