place_freeform;latitude;longitude
Albrechtičky;49,70169;18,09552
Aš;50,22387;12,19499
Batelov;49,31425;15,39465
Bechyně;49,29523;14,4681
Bělá pod Bezdězem;50,50121;14,80418
Bělkovice-Lašťany;49,66865887;17,31718228
Benátky nad Jizerou;50,29085;14,82343
Benešov;49,78162;14,68697
Bernartice;49,67556389;15,12914434
Beroun;49,96382;14,072
Bílina;50,54854;13,77535
Bílovice nad Svitavou;49,24708;16,67247
Blansko;49,36304;16,64446
Blatná;49,42489;13,88176
Blučina;49,05497;16,6445
Bludov;49,9408;16,92849
Bohuňovice;49,66301;17,28693
Bojkovice;49,03864;17,81487
Bor;49,71159;12,77516
Borotín;49,50503;14,61297
Boskovice;49,48751;16,65997
Brandýs nad Labem;50,1858253;14,6597514
Brandýs nad Labem-Stará Boleslav;50,18709;14,66326
Brandýs nad Orlicí;50,00194;16,28528
Brno;49,19522;16,60796
Brno-jih;49,158616;16,629331
Brno-sever;49,244714;16,610215
Brno-střed;49,190128;16,595782
Brno-východ;49,207397;16,683784
Brno-západ;49,226729;16,503661
Brodce;50,33068;14,86917
Brodek u Přerova;49,48419;17,33825
Broumov;50,58566;16,33181
Brumov-Bylnice;49,09087698;18,02309453
Bruntál;49,98844;17,4647
Brušperk;49,7001;18,2221
Břeclav;48,75897;16,88203
Březnice;49,55763;13,95063
Budišov;49,27138;16,00383
Buchlovice;49,08627;17,33852
Buštěhrad;50,15594;14,18897
Bystrovany;49,5963;17,32364
Bystřec;50,01168;16,619
Bystřice nad Pernštejnem;49,52295;16,26147
Bystřice pod Hostýnem;49,39924;17,67401
Čáslav;49,91099;15,38972
Čebín;49,31324;16,47791
Čechovice;49,5568514;17,3597911
Čechy pod Kosířem;49,55096;17,03767
Čelákovice;50,16038;14,75005
Černošice;49,96008;14,31979
Červená Voda;50,04029;16,74268
Červené Pečky;49,97822;15,20856
Červený Kostelec;50,47626;16,09289
Česká Lípa;50,68551315;14,53764166
Česká Skalice;50,39467;16,04276
Česká Třebová;49,90436;16,44413
České Budějovice;48,97447;14,47434
Český Brod;50,0742;14,86081
Český Dub;50,66054;14,99617
Český Krumlov;48,81091;14,31521
Český Těšín;49,74613;18,62613
Čimelice;49,46557;14,06922
Dačice;49,08154;15,43727
Děčín;50,78215;14,21478
Dnešice;49,60482026;13,26454451
Dobrá u Frýdku-Místku;49,67383;18,41393
Dobrá Voda u Českých Budějovic;48,9682061;14,52493495
Dobrovice;50,36933;14,96233
Dobruška;50,29201;16,16001
Dobřany;49,65482;13,29307
Dobřichovice;49,92749;14,27469
Dobříš;49,78113;14,16717
Doksy;50,56471;14,65553
Dolní Bousov;50,43825;15,12812
Dolní Bučice;49,9252039;15,4651236
Dolní Čermná;49,97954;16,56475
Dolní Dobrouč;49,99273;16,49766
Dolní Kalná;50,53887;15,63919
Dolní Lánov;50,587;15,66432
Dolní Lutyně;49,89876;18,42815
Dolní Újezd;49,82562;16,25461
Dolní Životice;49,89732;17,77969
Doloplazy;49,56876;17,41393
Domašov;49,24533;16,34382
Domažlice;49,44049;12,92976
Domoradovice;49,8459781;17,819605
Doubravník;49,42411;16,35269
Drnovice;49,46930685;16,54222982
Dub nad Moravou;49,48249;17,27723
Dubňany;48,91694;17,09004
Dvůr Králové nad Labem;50,43172;15,81402
Františkovy Lázně;50,12033;12,35174
Fryčovice;49,66677;18,22321
Frýdek-Místek;49,68333;18,35
Frýdlant nad Ostravicí;49,5928;18,35967
Fryšták;49,2852;17,68346
Golčův Jeníkov;49,81626;15,47686
Habartov;50,18297;12,55054
Háj ve Slezsku;49,89856;18,0954
Hanušovice;50,08049;16,93641
Hartmanice;49,16948;13,45455
Havířov;49,77984;18,43688
Havlíčkova Borová;49,63578;15,78157
Havlíčkův Brod;49,60785;15,58069
Havlovice;50,48753;16,02932
Hejnice;50,8772;15,18168
Heřmanův Městec;49,94707;15,66492
Hlavňovice;49,23784;13,39505
Hlinsko;49,76213;15,90756
Hlinsko v Čechách;49,76213;15,90756
Hlubočky;49,61783;17,39436
Hluk;48,98805;17,52744
Hlušovice;49,63809;17,27739
