regno;place_refined
112.02;Praha-střed
112.31;Zbraslav
112.47;Praha-Žižkov
112.53;Praha-Vysočany
112.99;Praha-Žižkov
113.04;Praha-Žižkov
113.05;Praha-střed
113.61;Praha-Žižkov
114.05;Praha-Modřany
114.07;Praha-Pankrác
114.32;Praha-Pankrác
114.34;Praha-Pankrác
114.43;Praha-Kunratice
114.57;Praha-Pankrác
115.55;Praha-Smíchov
115.56;Praha-Smíchov
115.58;Praha-Smíchov
115.76;Praha-Radotín
115.85;Praha-Holešovice
116.06;Praha-Šárka
116.08;Libčice nad Vltavou
116.10;Praha-Šárka
116.11;Praha-Šárka
116.18;Praha-Šárka
116.22;Praha-Šárka
116.30;Praha-Šárka
116.33;Praha-Šárka
116.73;Praha-Šárka
116.74;Kralupy nad Vltavou
116.81;Roztoky
118.24;Praha-Kobylisy
118.39;Praha-Holešovice
118.42;Odolena Voda
118.45;Praha-Holešovice
118.46;Praha-Kobylisy
118.52;Praha-Kobylisy
118.88;Praha-Kobylisy
119.17;Praha-Vysočany
119.23;Praha-Běchovice
119.27;Praha-Horní Počernice
119.67;Praha-Prosek
119.84;Praha-Vysočany
11A.10;Praha-Vršovice
11A.20;Praha-Pankrác
11A.35;Praha-Jižní Město
11A.50;Praha-Vršovice
11A.62;Praha-Horní Počernice
11A.77;Praha-Vršovice
11A.92;Praha-Běchovice
11A.93;Praha-Šárka
11A.96;Praha-Pankrác
211.01;Benešov
211.02;Vlašim
211.03;Kamenice
211.05;Votice
212.01;Beroun
212.02;Hořovice
212.03;Králův Dvůr
212.04;Beroun
212.07;Rudná
212.08;Mořina
212.10;Nové Strašecí
213.01;Kladno
213.02;Kladno
213.03;Buštěhrad
213.04;Libušín
213.05;Slaný
214.01;Kolín
214.02;Kolín
214.04;Starý Kolín
214.05;Červené Pečky
214.07;Český Brod
214.09;Kolín
214.11;Kouřim
214.12;Ratboř
214.14;Český Brod
214.15;Kostelec nad Černými lesy
214.19;Plaňany
